TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
2.048,0.168576,3.06014,0.907357,0,0.143484,0.146167,0.0293855,0.247042,0.127016,0.048316,0,0.122377
2.090666667,0.0830699,2.74547,0.728938,0,0.0875661,0.0291425,0.0836199,0.356645,0.227795,0.321597,0,0.168592
2.133333333,0.0558661,2.67307,0.605579,0.0739872,0.0213244,0.196938,0.109437,0.408928,0.0433582,0.452482,0.489649,0.130747
2.176,0.0193787,2.74947,0.503542,0.182432,0.265835,0.361474,0.125371,0.526253,0.0273924,0.387383,0.650808,0.140663
2.218666667,0.0122835,3.14626,0.479372,0.121083,0.531066,0.17911,0.0163245,0.772743,0.0149327,0.0255095,0.490608,0.103194
2.261333333,0.000289967,3.29983,0.439478,0.00913941,0.541097,0.214977,0,0.627224,0.0982376,0.0012666,0.187584,0.0772474
2.304,0.00746274,3.16154,0.317232,0,0.680281,0.266346,0.0340254,0.61999,0.196629,0.0215003,0.0787216,0.135733
2.346666667,0.314238,3.06189,0.153729,0.10718,0.589376,0.303166,0.0544163,0.481458,0.303456,0.0515154,0.000147284,0.0622121
2.389333333,0.459122,3.07307,0.0482767,0.191037,0.56994,0.27563,0.0511668,0.218928,0.16252,0.222723,6.46E-05,0.0151025
2.432,0.522219,3.22066,0.051449,0.209518,0.581828,0.114397,0.0529455,0.132578,0.0229102,0.269896,0,0
2.474666667,0.757954,3.18763,0.112421,0.213085,0.587897,0.0105008,0.158541,0.10792,0.128546,0.330175,0,0
2.517333333,0.632818,3.08173,0.16146,0.211795,0.43644,0.000200172,0.361852,0.197478,0.122058,0.325488,0.00081652,0
2.56,0.462074,2.99381,0.225265,0.246286,0.164639,0,0.564768,0.117038,0.317231,0.220348,0.0695007,9.88E-05
2.602666667,0.348296,3.25508,0.420701,0.151346,0.0437368,0.00116196,0.394619,0,0.109794,0.242097,0.00220573,0.00191086
2.645333333,0.454151,3.38449,0.529322,0.0627062,0.0270825,0.00658214,0.259523,0.00942065,0.366831,0.32972,0.00254195,0.0602617
2.688,0.477958,3.36568,0.626165,0.0237277,0,0.205687,0.094652,0.104638,0.780827,0.35853,0.00199447,0.100626
2.730666667,0.572822,3.18046,0.645288,0.0381808,0,0.365034,0.105423,0.190901,0.660404,0.312419,0.000602284,0.0844295
2.773333333,0.673459,3.0927,0.575808,0.0377915,0.00138117,0.406978,0.375207,0.241274,0.462975,0.142674,0.00630024,0.000133431
2.816,0.677136,2.9624,0.419038,0.00434241,0.0378001,0.196321,0.900175,0.463499,0.0409481,0,0.000567352,0.000217558
2.858666667,0.64006,2.93675,0.510857,0,0.0428534,0.129213,0.814356,0.492962,0.0774339,0.0436816,0.033945,0.00020145
2.901333333,0.382306,3.03784,0.583535,0,0.134258,0.142057,0.358141,0.407249,0.200747,0.117223,0.0244341,0
2.944,0.0692353,3.17526,0.669296,0,0.241008,0.356897,0.15745,0.147087,0.246306,0.155314,0.0692245,0
2.986666667,0.0535715,3.15355,0.675817,0.00514809,0.266137,0.332125,0.119272,0.281352,0.177584,0.0491534,0.0976162,0
3.029333333,0.212373,3.18901,0.609083,0.0748475,0.218118,0.175434,0.20449,0.590815,0.0045597,0.0707146,0.270406,0
3.072,0.339122,3.132,0.556258,0.323458,0.10184,0.107239,0.319734,0.45641,0.0244843,0.0369059,0.117659,0.000158928
3.114666667,0.444394,3.05294,0.450023,0.590902,0.0794946,0.236553,0.427757,0.202813,0.0338984,0.115574,0.0355867,0.000226895
3.157333333,0.490599,3.0277,0.347197,0.888892,0.0578448,0.0924986,0.410661,0.029905,0.0179132,0.180815,0.165483,0.000183609
3.2,0.56245,2.97802,0.346548,0.933041,0.0460528,0.0340432,0.474532,0.072216,0.0287248,0.402066,0.236987,0.000283995
3.242666667,0.510201,2.77529,0.494231,0.931774,0.0106951,0.0201121,0.612264,0.100148,0.00656051,0.34919,0.0887796,0.00835924
3.285333333,0.514188,2.7547,0.54375,0.84669,0.021704,0,0.555096,0.141441,0.0364575,0.39407,0.0733032,0.000337994
3.328,0.539591,2.70254,0.522027,0.885506,0.0303202,0,0.522397,0.162808,0.0753099,0.288602,0.0220191,0.000229605
3.370666667,0.521574,2.71768,0.66832,0.818823,0.128521,0,0.456566,0.212423,0.0900738,0.172939,0.062097,0.0968257
3.413333333,0.459767,2.64689,0.755472,0.8176,0.0579548,0.0046418,0.458702,0.166432,0.0778911,0.104294,0,0.11085
3.456,0.14578,2.43088,0.099748,0.0955265,0,0.0137142,0.210063,0.0364061,0.088154,0.187465,0.0592652,0.000205936
3.498666667,0.0331183,2.40195,0.0733481,0,0,0.00731245,0.0713139,0,0.288376,0.901113,0.0766171,9.92E-06
3.541333333,0.117886,2.33468,0.0753562,0,0,0,0.205845,0,0.146451,1.04225,0.0736831,0
3.584,0.191865,2.21088,0.0772099,0.00955694,0,0,0.234243,0,0.078619,1.04072,0.000297559,0
3.626666667,0.197557,2.12434,0.0901787,0.0173484,0,0,0.240178,0.0042186,0.114501,1.10109,0.000298228,0
3.669333333,0.180177,2.11769,0.106062,0.0208611,0,0,0.178734,0.0574643,0.105515,1.17689,0.0159027,1.31E-05
3.712,0.392262,2.05311,0.147897,0.375135,0,0,0.100874,0.307942,0.0922069,1.19328,0.0442207,0.000384933
3.754666667,0.085123,2.1914,0.46482,0.365355,0.0159762,0.0764665,0.033395,0.287454,0.0931188,1.07779,0.124245,0.0501199
3.797333333,0.000402087,2.0849,0.431548,0.496292,0.0269037,0.020552,0.06248,0.234367,0.000795225,1.36896,0.737135,0.000320303
3.84,6.61E-05,2.10533,0.109136,0.742063,0.0245997,0.0345436,0.0382068,0.264328,0.000818406,1.41237,0.669603,0.000335595
3.882666667,3.26E-05,2.04011,0.10959,0.842067,0.00336776,0.0493878,0.0760521,0.223321,0.00766679,1.40505,0.653757,0.000251335
3.925333333,0.000222153,1.9894,0.105036,0.659582,0,0.0615976,0.0928672,0.202491,0.011592,1.33374,0.588495,0.000255068
3.968,0.000232794,1.9638,0.10845,0.401085,0.00287328,0.0563784,0.0736667,0.18646,0.0115896,1.3412,0.529184,0.00024155
